,0
1546,68.13891
1547,72.49323
1548,69.80956
1549,70.14652
1550,70.55505
1551,70.44637
1552,68.557625
1553,68.07391
1554,72.381546
1555,69.678894
1556,70.02713
1557,70.47089
1558,70.39341
1559,68.59161
1560,68.00766
1561,72.407036
1562,69.73925
1563,70.04822
1564,70.50958
1565,70.478004
1566,68.580734
1567,67.955864
1568,72.27992
1569,69.64849
1570,70.02025
1571,70.4586
1572,70.327385
1573,68.405365
1574,67.79142
1575,72.27729
1576,69.579254
1577,69.88096
1578,70.40286
1579,70.285095
1580,68.34484
1581,67.77664
1582,72.1363
1583,69.3928
1584,69.69638
1585,70.15171
1586,70.006
1587,68.09708
1588,67.554985
1589,72.213135
1590,69.48596
1591,69.77079
1592,70.196785
1593,70.06749
1594,68.219406
1595,67.63957
1596,71.99401
1597,69.24155
1598,69.53063
1599,69.962326
1600,69.86699
1601,68.040726
1602,67.47923
1603,72.338776
1604,69.67954
1605,69.94177
1606,70.30527
1607,70.13529
1608,68.28562
1609,67.75701
1610,72.08062
1611,69.32969
1612,69.64157
1613,70.15356
1614,69.983505
1615,68.00887
1616,67.43535
1617,71.89082
1618,69.172775
1619,69.56736
1620,69.96001
1621,69.83893
1622,68.04648
1623,67.42992
1624,71.80119
1625,68.99481
1626,69.336624
1627,69.75709
1628,69.62473
1629,67.879326
1630,67.31289
1631,71.77319
1632,69.009384
1633,69.35978
1634,69.845345
1635,69.71995
1636,67.88839
1637,67.3618
1638,71.86416
1639,69.0353
1640,69.40664
1641,69.817566
1642,69.73731
1643,67.93084
1644,67.4622
1645,71.84782
1646,69.13582
1647,69.492905
1648,69.94828
1649,69.77418
1650,67.82607
1651,67.16888
1652,71.63136
1653,68.84632
1654,69.13131
1655,69.62045
1656,69.54653
1657,67.787
1658,67.21758
1659,71.37036
1660,68.68498
